ID_key,country,level,level_id,level_name,country_id,district_coop_id,community_id,district_coop_desc,comm_desc,society_desc,colcen_desc,full_name,colcen_id,mobile_num,farm_units,name,national_id
1_2_3_1,1_2,3,1,A/PRASO/1,2,4,1,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_2,1_2,3,2,ABAAM/2,2,4,2,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_5,1_2,3,5,ABEKAKROM/5,2,4,5,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6,1_2,3,6,ABEKOASE/6,2,4,6,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_57,1_2,3,57,ABONO A/57,2,4,57,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_89,1_2,3,89,ACCRA WEIGHT/89,2,4,89,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_109,1_2,3,109,ACKAAKROM/109,2,4,109,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_113,1_2,3,113,ADAASE/113,2,4,113,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_140,1_2,3,140,ADDOKROM/140,2,4,140,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6143,1_2,3,6143,AFUKEY A/6143,2,4,6143,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_291,1_2,3,291,AKUAPRAKROM/291,2,4,291,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_3482,1_2,3,3482,AMOAMAN/3482,2,4,3482,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_359,1_2,3,359,AMOANDA/359,2,4,359,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_400,1_2,3,400,ANKAASE/400,2,4,400,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_408,1_2,3,408,ANNANKROM B/408,2,4,408,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_431,1_2,3,431,ANTWIKROM/431,2,4,431,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_432,1_2,3,432,ANTWIKROM/432,2,4,432,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6669,1_2,3,6669,ANYINASE 2/6669,2,4,6669,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_456,1_2,3,456,ANYINASE/456,2,4,456,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_489,1_2,3,489,APRUTU B/489,2,4,489,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_556,1_2,3,556,ASMA CAMP/556,2,4,556,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_557,1_2,3,557,ASMACAMP/557,2,4,557,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_603,1_2,3,603,ATEIKU/603,2,4,603,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_630,1_2,3,630,ATTAHKROM/630,2,4,630,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_7949,1_2,3,7949,ATTAKROM I/7949,2,4,7949,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_635,1_2,3,635,ATTAKROM II/635,2,4,635,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_632,1_2,3,632,ATTAKROM/632,2,4,632,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6229,1_2,3,6229,ATTOBRAKROM/6229,2,4,6229,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6135,1_2,3,6135,ATWEREBOANDA 2/6135,2,4,6135,1_2_4,1_2_3,1_2_4,,,,,,,
